player_id,positive_drivers,negative_drivers
106872,goal contributions per 90 (+0.160); assists/90 last season (+0.113); position: Midfield (+0.091); 3-season average minutes (+0.079); minutes last season (+0.077),age (-0.732); league context (-0.358); league minutes (-0.116); minutes per appearance (-0.103); minutes consistency (-0.054)
106987,seasons of top-5 history (+0.223); position: Midfield (+0.112); 3-season average output (+0.089); change in contributions/90 (+0.038); minutes last season (+0.035),age (-0.490); league context (-0.192); league minutes (-0.187); goal contributions per 90 (-0.179); height (-0.069)
107775,league minutes (+0.182); minutes last season (+0.092); height (+0.075); disciplinary record (+0.074); minutes per appearance (+0.070),age (-0.961); league context (-0.189); goal contributions per 90 (-0.167); minutes consistency (-0.135); goals per 90 (-0.065)
108354,league context (+0.403); seasons of top-5 history (+0.233); 3-season average minutes (+0.124); minutes last season (+0.075); 3-season average output (+0.055),age (-1.335); league minutes (-0.118); minutes per appearance (-0.109); height (-0.060); position: Defender (-0.058)
108390,height (+0.335); seasons of top-5 history (+0.263); league minutes (+0.213); league context (+0.201); 3-season average minutes (+0.145),age (-1.023); gap since last season (-0.305); goal contributions per 90 (-0.162); goals per 90 (-0.072); 3-season average output (-0.059)
108725,goal contributions per 90 (+0.548); league context (+0.259); league minutes (+0.179); contributions/90 last season (+0.126); seasons of top-5 history (+0.112),age (-1.330); minutes consistency (-0.075); position: Midfield (-0.043); position: Defender (-0.040); assists per 90 (-0.021)
111038,seasons of top-5 history (+0.115); league minutes (+0.085); minutes last season (+0.056); position: Defender (+0.025); 3-season average minutes (+0.017),age (-1.046); gap since last season (-0.330); goal contributions per 90 (-0.223); league context (-0.143); height (-0.083)
111195,league context (+0.405); seasons of top-5 history (+0.100); 3-season average minutes (+0.062); gap since last season (+0.024); position: Defender (+0.019),age (-1.185); goal contributions per 90 (-0.256); league minutes (-0.109); height (-0.070); goals per 90 (-0.056)
111196,seasons of top-5 history (+0.163); height (+0.129); club squad rotation (+0.082); league context (+0.068); position: Defender (+0.061),age (-1.160); minutes per appearance (-0.100); league minutes (-0.091); 3-season average output (-0.052); position: Midfield (-0.035)
111266,3-season average minutes (+0.098); minutes last season (+0.066); position: Midfield (+0.053); appearances (+0.020); gap since last season (+0.013),age (-2.313); league context (-0.189); league minutes (-0.183); goal contributions per 90 (-0.156); minutes per appearance (-0.105)
111455,league minutes (+0.229); seasons of top-5 history (+0.136); minutes per appearance (+0.117); 3-season average minutes (+0.094); minutes last season (+0.076),age (-1.054); league context (-0.367); height (-0.080); appearances (-0.024); contributions/90 last season (-0.020)
